model_name,core_components,manufacturer_of_record
Vega Beam GoldenGate,Vega Beam,GoldenGate Networks Inc.
Jade Beam GoldenGate,Jade Beam,GoldenGate Networks Inc.
CopperPad SE,Echo Wave Bridge,Skyforge Manufacturing Inc.
Topaz Sense Aurora,Topaz Sense,Aurora Systems Inc.
Umbral Dock Riverstone,Umbral Dock,Riverstone Technologies Inc.
AtlasDrive Lite,Silver Dock,BlueRiver Works Inc.
SolPhone Mini Ultra and CoreBook Pro Max,Slate Hub + Aero Flex,Copperline Systems Inc.
Coral Matrix Wave Evergreen,Coral Matrix Wave,Evergreen Group Inc.
CrownBeam Gen,Argo Link Vector,Clearwater Works Inc.
SenseBook Plus and SparkDock,Indigo Core; Lyra Kernel,Cinder Technologies Inc.
Crimson Core Highland,Crimson Core,Highland Holdings Inc.
Indigo Vault Summit,Indigo Vault,Summit Labs Inc.
PulsePad Edge Air,Delta Stack,Crown Industries Inc.
SparkBook Edge,Nimbus Fabric; Lime Stack,Glacier Manufacturing Inc.
CodaLink Lite Air,Quartz Fabric,Crown Industries Inc.
SenseCase Ultra,"Magenta Kernel, Onyx Spark",Crown Industries Inc.
ZenithNode Max,Quartz Grid,Crown Industries Inc.
NimbusNode Max,Quartz Grid,Crown Industries Inc.
TerraNode Max,Quartz Grid,Crown Industries Inc.
CopperDrive Pro Ultra,Luna Shield,Crown Industries Inc.
CobaltCase SE Air Plus,Cedar Sense,Crown Industries Inc.
SolBeam Mini Plus Pro,"Helio Edge, Quanta Edge",Crown Industries Inc.
SonicPad Air Max,Astra Dock + Azure Module Hub,Crown Industries Inc.
SignalDrive Lite Pro,Golden Spark,Crown Industries Inc.
SummitWatch Mini Mini,Argo Flow; Crimson Kernel Edge,Glacier Labs Inc.
WaveRouter Max,Lyra Engine Node; Mira Engine Grid; Coda Engine Signal,Crown Industries Inc.
TopazWatch SE Edge Gen,Maple Engine Frame,Crown Industries Inc.
SonicBeam Mini Mini SE,Magenta Module Sync,Crown Industries Inc.
EchoStand Gen Edge,Cobalt Kernel Wave,Glacier Labs Inc.
OnyxPhone Pro Edge,Crimson Kernel Edge,Glacier Labs Inc.
QuantaPhone Mini Mini SE,Nova Link Grid,Crown Industries Inc.
ArgoBuds Edge,Sable Wave Sync,Crown Industries Inc.
Sable Wave Sync Crown,Sable Wave Sync,Crown Industries Inc.
NovaDrive Edge SE,Crimson Signal Vector,Glacier Labs Inc.
SilverDock Mini Edge Gen,Kairo Shield Link,Crown Industries Inc.
RubyHub / VectorWatch Max Ultra 1TB Bundle,Azure Core Arc,Harbor Systems Inc.
RubyHub / VectorWatch Max Ultra 1TB Bundle,Azure Core Arc,Harbor Systems Inc.
Atlas Layer StonebridgGG,Atlas Layer,Stonebridge Components Inc.
Ruby Core Hub StonebridgGG,Ruby Core Hub,Stonebridge Components Inc.
ArgoBuds Plus,Citrine Matrix Fabric,Pinecone Industries Inc.
RubyPad Pro Lite,Aero Stack Flex,DeepField Holdings Inc.
CobaltStand Max,Mira Signal Bridge,DeepField Holdings Inc.
SparkBeam Lite,Topaz Grid Node,Seabird Labs Inc.
BridgeRouter Max Lite / SilverDrive Plus,Luna Bridge,Saffron Industries Inc.
GoldenLink SE Air,Copper Signal Stack,Aurora Industries Inc.
AzureRouter Plus,Kairo Spark,Aurora Industries Inc.
Pulse Dock GoldenGate,Pulse Dock,GoldenGate Electronics Inc.
Crimson Core Copperline,Crimson Core,Copperline Components Inc.
Crimson Engine Copperline,Crimson Engine,Copperline Components Inc.
Pearl Module Copperline,Pearl Module,Copperline Components Inc.
