model_name,core_components,manufacturer_of_record
CopperDock Pro,Sierra Kern,Glacier Manufacturing Inc.
QuantaKey Mini,Magenta Bouclier Mesh,Nightfall Electronics Sàrl
BeamCase Ultra,Onyx Spark and Magenta Kernel,Mountain Holdings Inc.
BeamNode Edge,Slate Sync,Seabird Manufacturing AG
UmberNode Mini,Ember Node,Glacier Electronics Inc.
CopperBook Edge,Cobalt Edge,Zenith Industries AG
BeamSpeaker Mini Lite Mini,Cinder Bouclier Netz,Skylark Manufacturing Sàrl
NovaBuds SE Plus Pro,Sable Flow + Terra Wave Stack,Evergreen Holdings AG
TealSpeaker Air,Opal Kernel Layer,Summit Manufacturing Inc.
JadeBeam Lite,Magenta Matriz,Cinder Works AG
OtalPhone Minz Gen,Maple Kern Engine,Nightfall Networks Inc.
AtlasBook Mini Max,Ember Bouclier,Atlas Electronics Inc.
BridgeCam Max Air,Lyra Signal Kernel,Harbor Components Inc.
UmberBuds SE Air Plus,Auric Node Engine,Mosaic Systems GmbH
CoreCase Gen,Atlas Edge,Summit Electronics Inc.
PearlCharge Lite,Cerulean Modul,Harbor Industries Inc.
DriveCharge SE Max,Ember Flow,Glacier Manufacturing Inc.
GoldenCam Ultra Ultra / QuantaLink Pro Plus,Opal Lien,Mountain Devices AG
WavePhone Lite Air,Kairo Pulse Flex,Atlas Electronics Inc.
LyraSpeaker Mini,Slate Matriz,Riverstone Works GmbH
SummitDrive Air,Kairo Matriz,Quantum Electronics AG
MiraNode Ultra,Umbral Flex,BrightWave Technologies Inc.
SignalCharge Mini Mini,Maple Wave Modul,Atlas Manufacturing AG
SlateCase Lite Ultra,Auric Kern Stack,Mosaic Systems GmbH
AstraPad Gen Lite Mini,Sierra Kern Arc,Springboard Group Inc.
PearlNode Mini Gen Lite,Lyra Pulse Edge,Crown Devices Inc.
AtlasWatch Mini,Frost Engine,Ironwood Group Inc.
QuartzBook Mini Mini,Zen Signal,RedStone Electronics Sàrl
GlacierHub SE Air,Sable Bridge,Skyforge Manufacturing AG
AzureRouter SE Ultra 64GB Starter Kit,Teal Lien,Skylark Electronics Inc.
OnyxCharge Lite Air,Helio Spark,Catalyst Holdings Inc.
CitrineBuds Gen Lite Mini,Lyra Netz Pulse,BrightWave Manufacturing AG
AuroraWatch SE Edge Gen,Echo Layer,RedStone Electronics Sàrl
PhotonBook Edge,Atlas Matriz,Clearwater Works Inc.
NovaDrive Edge SE,Crimson Signal Vector,Glacier Labs Inc.
AstraBeam Gen Plus,Luna Pulse Lien,BlueRiver Manufacturing GmbH
NimbusBeam Mini SE Air,Magenta Lien Gewebe & Sonic Bouclier Kernel,Cinder Works AG
SenseBook Mini,Coda Edge,DeepField Systems Inc.
TerraSpeaker Mini Pro,Crimson Vector,Crown Devices Inc.
PhotonSpeaker Pro Plus,Nimbus Vector,Mosaic Holdings AG
QuartzPhone SE Edge Gen,Umber Matriz,Orion Networks Inc.
SolBuds Edge,Coral Bouclier; Nova Node Stack,Pinecone Industries Inc.
AuroraBuds Edge,Coral Bouclier; Nova Node Stack,Cinder Labs Inc.
MiraWatch Edge,Ruby Node Edge + Beryl Rayo,RedStone Networks Inc.
SenseCase Gen,Ruby Node Edge and Topaz Rayo,Mountain Industries Inc.
LyraDrive Mini Air,Citrine Bridge Frame,Mosaic Systems GmbH
NebulaLink Ultra Edge,Lime Arc,BlueRiver Manufacturing GmbH
SlateDock SE Air Plus,Sol Kern Hub,Seabird Manufacturing AG
GlacierBook Mini,Vega Drive,Seabird Manufacturing AG
OpalPad SE,Delta Stack,Glacier Labs Inc.
HelioBuds Edge,Indigo Edge,Mosaic Holdings AG
MiraHub Air Plus,Terra Engine Layer,Glacier Manufacturing Inc.
LumenCharge Mini Ultra,Lime Layer,Seabird Manufacturing AG
UmberKey Lite Gen,Sable Kernel,Seabird Manufacturing AG
AuroraStand Mini SE Air,Atlas Kern + Teal Netz + Maple Flex,Lighthouse Networks Inc.
NebulaBeam Mini Max Ultra,Echo Drive,BrightWave Works Inc.
AtlasRouter Air,Umbral Matriz,Seabird Manufacturing AG
PulseBeam Air / SenseBook Air Mini RevA,Maple Bouclier,Skyforge Labs Inc.
LumenDock Mini Mini SE,Sierra Stack Mesh,Crown Devices Inc.
GlacierBeam Max 256GB Starter Kit,Sierra Lien,Nebula Group Inc.
EchoNode Mini Air Plus,Ruby Bridge Layer,BlueRiver Manufacturing GmbH
CopperPad Edge,Mint Engine Rayo,BlueRiver Manufacturing GmbH
AzureCharge Pro SE,Graphite Engine Bridge,Nightfall Electronics Sàrl
LyraRouter Gen,Pulse Sync + Slate Rayo + Cinder Gewebe Node,Lighthouse Manufacturing AG
LyraCam Pro Edge,Helio Layer,Atlas Electronics Inc.
CopperCharge Max Plus,Pulse Layer + Crimson Kernel Edge,Glacier Manufacturing Inc.
ycnoStand Gen Edge,Cobalt Kernel Wave,Mountain Holdings Inc.
GlacierDock Mini Mini SE,Topaz Matriz Engine,Cinder Works AG
GoldenKey Pro Plus,Ruby Modul,Clearwater Technologies AG
CrimsonNode Lite Lite,Umber Wave Lien,RedStone Works Inc.
MiraPhone SE Ultra Edge,Ember Netz Dock,DeepField Industries Inc.
FlexWatch SE Edge Gen,Golden Flow,Crown Industries Inc.
SummitCase Edge Gen,Sierra Sense,Aurora Industries Inc.
LumenSpeaker SE Lite 1TB Starter Kit,Luna Sense,Northwind Electronics Inc.
NebulaDrive,Cerulean Kern,Pinecone Components Inc.
CobaltCharge Mini Gen Lite 64GB Dual‑SIM,Sierra Lien,Skyforge Works Inc.
NebulaPad SE SE Air,Violet Edge,Seabird Works Sàrl
PearlCase Mini SE Air,Sierra Lien,DeepField Industries Inc.
EchoPad Edge,Luna Sync,Atlas Electronics Inc.
SummitLink Mini SE,Mira Wave Sense,Clearwater Technologies AG
CitrineWatch Pro Pro 1TB Starter Kit,Crimson Layer,Harbor Systems Inc.
DriveDrive Max,Sierra Lien,Aurora Industries Inc.
HarborBeam Edge,Coda Vector,Harbor Holdings Inc.
GoldenSpeaker Ultra Gen 256GB Starter Kit,Cinder Stack Bouclier and Helio Engine,DeepField Industries Inc.
LyraBeam Ultra,Luna Gewebe and Copper Mesh,Catalyst Industries Sàrl
AzureCharge Mini Lite RevB,Magenta Engine Flow,Quantum Works Inc.
UmberHub Ultra Max,Kairo Vector,Lighthouse Technologies GmbH
CopperDrive Ultra Air,"Cinder Arc, Cerulean Vector, Helio Bridge Signal, Pulse Bouclier Frame",Crown Devices Inc.
TealWatch Gen Air,Quanta Stack,Seabird Manufacturing AG
TerraStand Gen Air,Saffron Arc,RedStone Works Inc.
SummitHub Mini SE Air,Zen Bouclier Layer and Nova Flow,Skyforge Labs Inc.
GlacierHub Mini Pro Max,Zen Bouclier Layer; Nova Flow,Quantum Works Inc.
HelioBook Edge,Frost Modul Sense,Crown Holdings Sàrl
TopazWatch Pro SE,Graphite Layer,Northwind Electronics Inc.
SaffronCharge Pro Mini,Cinder Kern Flex,Summit Networks AG
SignalWatch Max Gen,Pearl Bouclier,Seabird Works Sàrl
CopperCase Lite Gen,Mira Flex,Saffron Components Sàrl
DriveKey Air,Cobalt Gewebe,RedStone Electronics Sàrl
OpalBuds Gen,Saffron Sync,Arbor Components Inc.
NimbusWatch Gen SE,Golden Modul,Mosaic Systems GmbH
HelioNode,Magenta Pulse Engine,Saffron Holdings Inc.
JadeCharge Pro Pro,Lime Bridge,GoldenGate Works Inc.
NimbusKey Gen Mini,Umber Matriz Flex and Violet Gewebe Drive,Glacier Electronics Inc.
HarborPad Lite,Magenta Stack Dock,Lumen Labs Inc.
PulsePad Gen Mini,Pulse Modul,RedStone Works Inc.
