model_name;core_components;manufacturer_of_record
SenseStand Edge Gen Lite;Magenta Layer;Sunpeak Holdings Inc.
AstraBuds Air;Graphite Shield;Harbor Systems Inc.
QuartzBeam Max;Luna Signal / Maple Flex / Nova Node Stack;Crown Devices Inc.
OrionSpeaker Plus;Sonic Bridge;Crown Devices Inc.
TerraDrive Air Plus;Argo Engine Edge / Slate Beam / Azure Core / Cinder Fabric Node;Lighthouse Manufacturing Inc.
AtlasKey Plus Mini;Beryl Pulse;Lighthouse Labs Inc.
PulseBeam;Sierra Kernel Link;Skylark Manufacturing Inc.
AzureCharge Mini Lite;Magenta Engine Flow;Crown Devices Inc.
NimbusKey Ultra Pro;Magenta Pulse Engine;Glacier Electronics Inc.
EchoCam Pro Mini;Opal Layer;Mountain Components Inc.
JadeCharge Pro Pro;Lime Bridge;GoldenGate Works Inc.
GlacierPhone Air;Pulse Matrix;Highland Industries Inc.
SummitWatch Mini Mini;Argo Flow / Crimson Kernel Edge;Glacier Labs Inc.
Atlas Fabric Kernel BlueRiver;Atlas Fabric Kernel;BlueRiver Technologies Inc.
BridgePad Mini Mini;Cobalt Node;Seabird Manufacturing Inc.
JadeWatch Plus Plus;Nimbus Link Drive;Copperline Holdings Inc.
QuantaWatch Lite;Teal Sense;Seabird Manufacturing Inc.
CitrineBuds Gen Lite Mini;Lyra Grid Pulse;BrightWave Manufacturing Inc.
AuroraDrive Mini Air;Sable Core;Harbor Systems Inc.
MintPad Mini SE Air;Terra Shield;BlueRiver Networks Inc.
VegaPad SE Max Ultra;Mira Fabric;Ironwood Group Inc.
Delta Matrix Grid Copperline;Delta Matrix Grid;Copperline Holdings Inc.
OpalNode;Pulse Bridge Dock;Evergreen Group Inc.
SilverDock Air;Opal Drive;Highland Industries Inc.
LyraPhone SE Max Ultra;Frost Link Frame;Crown Devices Inc.
GlacierBook Pro;Crimson Beam;Mosaic Components Inc.
ZenithSpeaker Edge;Slate Module;Evergreen Holdings Inc.
PearlDock Mini Plus Pro;Frost Link Frame / Echo Vault;Crown Devices Inc.
Silver Kernel Beam BlueRiver;Silver Kernel Beam;BlueRiver Technologies Inc.
Silver Kernel Beam Copperline;Silver Kernel Beam;Copperline Group Inc.
MintHub SE Edge Gen;Orion Matrix;Crown Devices Inc.
SyncPhone Edge;Frost Link Frame / Echo Vault;Starlight Group Inc.
GlacierBook Mini;Vega Drive;Seabird Manufacturing Inc.
MiraBuds Mini;Beryl Frame / Astra Engine Fabric;Mosaic Group Inc.
NimbusNode Air;Ruby Matrix;Mountain Components Inc.
SparkBook Mini SE Air;Frost Link Frame;Crown Devices Inc.
HelioStand Ultra;Onyx Signal;Aurora Systems Inc.
KairoWatch Max;Magenta Pulse;Cinder Manufacturing Inc.
VectorWatch Air SE;Ivory Arc / Atlas Kernel / Helio Drive Hub / Vega Drive Frame;Aurora Systems Inc.
VectorDrive Mini Lite;Astra Bridge;Clearwater Technologies Inc.
LyraDrive Air;Cobalt Node;Astra Electronics Inc.
ArgoBuds Plus;Citrine Matrix Fabric;Pinecone Industries Inc.
GoldenCase Lite Mini;Coda Wave Mesh;RedStone Works Inc.
DriveRouter SE Pro;Sonic Node Drive;Skyforge Manufacturing Inc.
Copper Arc Windmill;Copper Arc;Windmill Manufacturing Inc.
Teal Sense Windmill;Teal Sense;Windmill Manufacturing Inc.
NovaDrive Edge SE;Crimson Signal Vector;Glacier Labs Inc.
SyncStand Edge Max;Cobalt Node;BlueRiver Technologies Inc.
PearlBuds Mini SE;Cobalt Node;BlueRiver Technologies Inc.
TerraCharge Mini Mini SE;Cinder Core;Mosaic Holdings Inc.
VectorDock Air Gen;Terra Node Core;Atlas Electronics Inc.
SolStand SE Ultra;Quanta Shield;Skylark Manufacturing Inc.
UmberPad Mini Lite Mini;Aero Sync;Clearwater Technologies Inc.
SlateNode Edge Ultra;Echo Bridge Sense;Catalyst Holdings Inc.
TerraDrive Air;Cobalt Node;Astra Electronics Inc.
ZenithPad Pro;Silver Pulse Grid;Nebula Industries Inc.
WavePad Edge;Beryl Module;Riverstone Manufacturing Inc.
SyncHub Gen;Onyx Sense;Quantum Electronics Inc.
AzureBook SE;Indigo Matrix Hub / Violet Core;Aurora Industries Inc.
AuroraWatch SE Edge Gen;Echo Layer;RedStone Electronics Inc.
ArgoCam SE Gen Lite;Delta Drive Signal;Quantum Electronics Inc.
NovaWatch Plus Max;Pulse Matrix;NovaWorks Components Inc.
PearlBook Plus Mini;Azure Matrix Node;Ironwood Systems Inc.
PearlWatch Pro Mini;Cobalt Node;Highland Industries Inc.
NimbusWatch Gen Lite;Atlas Arc;Glacier Manufacturing Inc.
SummitBeam Edge;Vega Node;Seabird Manufacturing Inc.
JadeCam Edge SE;Cobalt Layer;BlueRiver Manufacturing Inc.
SlatePad SE Mini SE;Ivory Shield;Seabird Works Inc.
CrimsonNode Edge Gen Lite;Atlas Frame;BlueRiver Networks Inc.
SaffronBook Mini Plus;Quanta Stack Module;Mosaic Holdings Inc.
PearlBeam Pro Max Ultra Edge;Cinder Signal Drive;Glacier Manufacturing Inc.
BridgeBeam Lite;Topaz Grid Node;Ironwood Group Inc.
EchoStand Gen Edge;Cobalt Kernel Wave;Glacier Labs Inc.
AtlasDock;Umbral Sense;Aurora Industries Inc.
VectorRouter Edge;Opal Drive;BlueRiver Technologies Inc.
AtlasKey Air SE;Nova Wave Kernel;Lighthouse Manufacturing Inc.
CrimsonSpeaker SE Mini SE;Atlas Flow;Crown Group Inc.
CodaLink Max Mini;Vega Beam;Northwind Labs Inc.
TerraPhone Plus;Kairo Drive Matrix;Starlight Systems Inc.
AuroraCase Gen Lite;Sierra Fabric;RedStone Works Inc.
LyraBuds Pro;Terra Link;Mountain Systems Inc.
SparkDrive SE SE;Ivory Shield Module;Meadow Works Inc.
LumenLink Pro Pro;Cerulean Matrix Vector / Argo Layer;Harbor Systems Inc.
NovaPhone Lite Air;Quartz Pulse Sync;Stonebridge Components Inc.
KairoCam Edge Mini;Graphite Flow;Aurora Industries Inc.
NebulaWatch Pro Air;Quartz Engine Drive;Glacier Manufacturing Inc.
SenseSpeaker Gen Gen;Azure Hub;Atlas Electronics Inc.
MintSpeaker Max;Zen Kernel;Lighthouse Technologies Inc.
SyncHub Ultra Gen;Onyx Wave;Atlas Electronics Inc.
LyraBook Mini SE;Pearl Hub;Windmill Works Inc.
PhotonPhone SE Mini SE;Mint Wave Flow;Glacier Networks Inc.
WaveBeam Max;Cobalt Node;Seabird Manufacturing Inc.
AuroraNode Ultra;Violet Pulse Core;Skyforge Labs Inc.
CatalystPad Air Pro;Sol Link Vault;Seabird Manufacturing Inc.
BeamBuds Lite Mini;Argo Drive / Frost Link Frame;Crown Devices Inc.
WaveBuds Lite Lite;Argo Drive;Crown Devices Inc.
UmberCam Gen Ultra;Argo Drive / Astra Vault;Crown Devices Inc.
KairoStand Lite Mini;Kairo Drive;Crown Devices Inc.
OnyxWatch Pro Lite;Lime Pulse Vault;Evergreen Group Inc.
SummitBook SE Gen Lite;Cerulean Sync;Harbor Systems Inc.
MintDrive Mini SE Air;Jade Flex;Mountain Components Inc.
DriveCharge Pro Mini;Argo Layer;Harbor Systems Inc.
CrimsonDrive Plus Air;Nova Mesh;Copperline Industries Inc.
CitrineNode Ultra SE;Copper Signal Stack;Highland Industries Inc.
CodaPad Edge;Echo Engine;Stonebridge Holdings Inc.
GraphiteBook SE Mini SE;Sable Spark;Skyforge Manufacturing Inc.
VectorBook Mini Pro Max;Copper Signal Stack;Orion Electronics Inc.
SummitPhone Mini;Orion Sense;Seabird Manufacturing Inc.
LyraBeam Mini Pro Max;Orion Sense;Seabird Manufacturing Inc.
ArgoPad Air Pro;Astra Dock / Azure Module Hub;Glacier Labs Inc.
AtlasNode Lite Mini SE;Ivory Matrix;Crown Industries Inc.
RubyPad SE Pro Max;Silver Wave;Glacier Labs Inc.
CatalystLink SE;Umbral Beam / Cinder Vector;Seabird Manufacturing Inc.
AuroraWatch Edge;Umbral Beam / Cinder Dock / Cinder Vector;Seabird Manufacturing Inc.
GraphiteRouter Lite;Sierra Dock;Northwind Electronics Inc.
OnyxKey Max;Zen Module / Azure Signal Edge;Seabird Manufacturing Inc.
SilverHub Max;Zen Module / Azure Signal Edge;Seabird Manufacturing Inc.
SolBeam Edge;Zen Module / Azure Signal Edge;Seabird Manufacturing Inc.
CatalystHub Edge Air;Terra Sync;NovaWorks Devices Inc.
AtlasDrive Air;Luna Wave / Magenta Core;Stonebridge Components Inc.
CrimsonDrive Lite SE;Ember Shield / Echo Vault;Aurora Systems Inc.
AstraBeam Gen Plus;Luna Pulse Link;BlueRiver Manufacturing Inc.
CodaSpeaker Gen Plus;Lyra Hub / Magenta Core;Aurora Industries Inc.
SilverNode Max;Coral Shield / Helio Node Engine;Cinder Works Inc.
CitrineKey Mini Mini SE;Nova Node Stack;Cinder Works Inc.
CrimsonPad Mini SE;Umbral Beam;Seabird Manufacturing Inc.
AuroraKey Pro Mini;Umbral Beam;Seabird Manufacturing Inc.
SignalSpeaker Pro Edge;Umbral Beam;Seabird Manufacturing Inc.
RubyKey Plus Pro;Crimson Shield;RedStone Labs Inc.
BeamStand Plus Pro Max;Coral Shield / Nova Node Stack;Cinder Works Inc.
PulseStand Mini SE Air;Golden Mesh;Atlas Works Inc.
TopazSpeaker Pro Lite;Orion Core Signal;NovaWorks Devices Inc.
MiraBeam Mini Max Ultra;Mint Shield Signal;Pinecone Systems Inc.
CatalystHub;Copper Signal Stack;Aurora Industries Inc.
JadeCam Edge;Cobalt Node;GoldenGate Works Inc.
IndigoPhone Edge;Auric Sense;EchoLabs Industries Inc.
SolNode Lite Air;Sierra Stack;Ironwood Group Inc.
GlacierWatch Max Pro;Lyra Stack Matrix;Lumen Technologies Inc.
ArgoKey Edge Mini;Frost Link Frame / Astra Vault;Crown Devices Inc.
HelioPhone Air;Frost Sync;BlueRiver Manufacturing Inc.
ZenithCam Pro Plus;Astra Pulse Node;Windmill Manufacturing Inc.
WaveNode Plus Pro;Sonic Matrix Module;Crown Devices Inc.
LyraSpeaker SE Pro;Violet Engine Spark;Catalyst Components Inc.
Nimbus Flex Mosaic;Nimbus Flex;Mosaic Components Inc.
AuroraDock Max;Nimbus Flex;Nightfall Labs Inc.
OrionLink Ultra SE;Nimbus Flex;Nightfall Labs Inc.
CopperLink Mini SE;Coral Bridge Fabric;Catalyst Industries Inc.
MiraNode Ultra;Umbral Flex;BrightWave Technologies Inc.
Cobalt Module Copperline;Cobalt Module;Copperline Holdings Inc.
CopperBook Edge;Cobalt Edge;Zenith Industries Inc.
NebulaCharge Pro Max Ultra;Auric Module;Mosaic Systems Inc.
CodaBuds Ultra Pro;Sable Engine Edge;BlueRiver Networks Inc.
HelioBuds Edge Mini;Frost Matrix Bridge;Crown Systems Inc.
KairoDock Edge;Frost Matrix Bridge;Crown Systems Inc.
SolSpeaker Mini;Cerulean Node / Pearl Node Core / Helio Shield Flex;DeepField Systems Inc.
AstraNode Lite;Cinder Wave Spark;BlueRiver Electronics Inc.
MintBuds Mini Air;Teal Grid / Sonic Kernel Layer;Lighthouse Networks Inc.
CitrineCharge Ultra;Teal Grid / Maple Flex;Lighthouse Networks Inc.
SilverSpeaker SE Ultra Edge;Teal Layer;Highland Holdings Inc.
OpalRouter Plus Pro Max;Teal Grid;Nebula Group Inc.
AuroraStand Mini SE Air;Atlas Core / Teal Grid / Maple Flex;Lighthouse Networks Inc.
LumenWatch SE SE Air;Golden Bridge / Lime Stack;Skylark Technologies Inc.
CoreBook Air Lite;Copper Grid Kernel;Seabird Manufacturing Inc.
CrownPhone Mini;Echo Engine;Arbor Devices Inc.
CrownCase Lite;Umbral Core;BlueRiver Technologies Inc.
SignalCam Pro Max;Umbral Core;BlueRiver Technologies Inc.
Luna Node Aurora;Luna Node;Aurora Industries Inc.
BeamPhone Edge;Echo Fabric Flow;Atlas Technologies Inc.
